Datetime  User  Secret_word  Guess_No  Guesses  
2022-02-24 11:06  ME  BLOKE  5  ['ALERT', 'SONIC', 'GLOVE', 'ELOPE', 'BLOKE']  
2022-02-24 11:07  Robot  BLOKE  4  ['ALERT', 'DISCO', 'GLOBE', 'BLOKE']  
2022-02-24 11:07  Robot  BLOKE  4  ['ORATE', 'SCULP', 'BODGE', 'BLOKE']  
2022-02-25 11:47  ME  VIVID  4  ['SOARE', 'MILKY', 'DITCH', 'VIVID']  
2022-03-01 17:47  ME  RUPEE  3  ['ALERT', 'PRUNE', 'RUPEE']  
2022-03-03 19:53  ME  MOURN  4  ['ORATE', 'SONIC', 'HORNY', 'MOURN']  
2022-03-07 11:19  ME  HOARD  3  ['CRANE', 'SHARP', 'HOARD']  
2022-03-08 08:41  ME  SWEET  4  ['ALERT', 'SCENT', 'SHEET', 'SWEET']  
2022-04-30 08:29  ME  TIBIA  4  ['ALERT', 'SYNCH', 'PATIO', 'TIBIA']  

2022-04-30 08:43  ME  HASTY  3  ['ALERT', 'SYNCH', 'HASTY']  
